Estação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out
Jabaquara;63;67;71;71;70;69;65;70;70;70
Conceição ;23;29;30;30;30;29;27;30;30;30
São Judas ;13;15;16;16;15;15;15;16;16;16
Saúde-Ultrafarma;22;26;27;27;27;27;25;27;27;27
Praça da Árvore ;13;15;16;16;16;16;14;16;16;16
Santa Cruz;81;92;96;95;96;95;88;95;96;95
Vila Mariana ;14;20;22;22;21;20;16;20;21;21
Ana Rosa;64;76;80;80;80;78;72;79;81;81
Paraíso;80;95;100;100;100;97;89;100;100;102
Vergueiro ;21;26;27;27;27;26;24;27;27;27
São Joaquim ;17;28;35;35;33;28;20;33;35;35
Japão-Liberdade ;20;21;22;22;21;21;22;22;22;22
Sé;153;169;175;174;172;171;160;171;175;174
São Bento;49;52;51;50;51;53;53;51;52;55
Luz;116;131;135;137;133;130;119;125;133;135
Tiradentes ;11;15;16;17;16;16;13;16;17;16
Armênia ;16;19;20;19;19;19;18;19;20;19
Portuguesa-Tietê ;43;42;44;44;44;45;44;44;48;44
Carandiru ;9;11;12;12;12;12;11;12;12;12
Santana ;41;48;50;50;50;49;46;50;51;51
Jardim São Paulo-Ayrton Senna;9;11;12;12;12;11;10;12;12;12
Parada Inglesa ;11;13;14;13;13;13;12;13;13;13
Tucuruvi ;47;54;55;56;56;56;53;57;58;58
